Date : 2022-02-08 18:19:37
Directory : e:\PROGS\Piano-Journey\Piano Journey
Total : 644 files,  48890 codes, 26473 comments, 13149 blanks, all 88512 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events                                                                                                           |         69 |      3,006 |      1,849 |        900 |      5,755 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Base                                                                                                      |          7 |        264 |        351 |        124 |        739 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Channel                                                                                                   |          8 |        406 |        213 |        114 |        733 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Converters                                                                                                |          2 |        139 |         89 |         57 |        285 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Info                                                                                                      |          4 |        137 |         52 |         33 |        222 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Meta                                                                                                      |         20 |        962 |        807 |        299 |      2,068 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Readers                                                                                                   |          7 |        323 |         13 |         60 |        396 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\SysEx                                                                                                     |          2 |         68 |         62 |         20 |        150 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\SystemCommon                                                                                              |          6 |        275 |        143 |         88 |        506 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\SystemRealTime                                                                                            |          6 |        132 |        106 |         42 |        280 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Writers                                                                                                   |          7 |        300 |         13 |         63 |        376 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Exceptions                                                                                                       |         15 |        258 |        185 |         94 |        537 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings                                                                                                  |         22 |        420 |        478 |        120 |      1,018 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\TimeDivision                                                                                                     |          4 |        153 |        114 |         56 |        323 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Utilities                                                                                                        |          8 |        399 |        142 |        109 |        650 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\WritingSettings                                                                                                  |          3 |        101 |        133 |         42 |        276 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices                                                                                                               |         53 |      3,474 |      2,096 |      1,239 |      6,809 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Clock                                                                                                         |          7 |        394 |        147 |        159 |        700 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Clock\TickGenerator                                                                                           |          4 |        222 |         74 |         90 |        386 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\DevicesConnector                                                                                              |          3 |         78 |         99 |         27 |        204 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\InputDevice                                                                                                   |          7 |        416 |        157 |        148 |        721 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\OutputDevice                                                                                                  |          6 |        440 |        216 |        151 |        807 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback                                                                                                      |         21 |      1,730 |      1,078 |        554 |      3,362 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\Callbacks                                                                                            |          3 |         53 |         48 |         23 |        124 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\CurrentTimeWatcher                                                                                   |          3 |        203 |         73 |         74 |        350 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackEventMetadata                                                                                |          3 |         68 |          0 |         28 |         96 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\Snapping                                                                                             |          3 |        194 |         84 |         70 |        348 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Recording                                                                                                     |          3 |        150 |         81 |         57 |        288 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\WinApi                                                                                                        |          2 |         68 |          0 |         18 |         86 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction                                                                                                           |        103 |      8,191 |      6,768 |      2,671 |     17,630 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Chords                                                                                                    |          8 |      1,202 |        774 |        369 |      2,345 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\GetObjects                                                                                                |          4 |        291 |         93 |         72 |        456 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\GetObjects\Settings                                                                                       |          1 |         22 |          8 |          8 |         38 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Grid                                                                                                      |          3 |         97 |        175 |         34 |        306 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\LengthedObject                                                                                            |          6 |        154 |        303 |         47 |        504 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Notes                                                                                                     |         14 |      1,498 |      1,011 |        452 |      2,961 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Notes\Utilities                                                                                           |          5 |        292 |        219 |         92 |        603 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Notes\Utilities\GetNotesAndRests                                                                          |          3 |        135 |        105 |         40 |        280 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Parameters                                                                                                |         11 |        514 |        300 |        184 |        998 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Parameters\Registered                                                                                     |          9 |        459 |        262 |        162 |        883 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\TempoMap                                                                                                  |          7 |        728 |        748 |        240 |      1,716 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\TimeSpan                                                                                                  |         29 |      2,485 |      2,395 |        862 |      5,742 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\TimeSpan\Converters                                                                                       |         10 |        770 |        404 |        243 |      1,417 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\TimeSpan\Parsers                                                                                          |          5 |        282 |         22 |        114 |        418 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\TimeSpan\Representations                                                                                  |          6 |      1,147 |      1,777 |        408 |      3,332 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\TimeSpan\TempoMapValuesCaches                                                                             |          1 |         61 |          0 |         31 |         92 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\TimeSpan\Utilities                                                                                        |          1 |         46 |         19 |         12 |         77 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\TimedEvents                                                                                               |          5 |        571 |        529 |        197 |      1,297 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\TimedObject                                                                                               |          6 |        233 |        221 |         75 |        529 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Utilities                                                                                                 |          7 |        207 |        150 |         63 |        420 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Utilities\NoteId                                                                                          |          2 |         55 |         38 |         21 |        114 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Utilities\ThrowIf                                                                                         |          3 |         47 |          0 |         14 |         61 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\ValueLine                                                                                                 |          2 |        201 |         63 |         72 |        336 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\MusicTheory                                                                                                           |         26 |      2,088 |      1,870 |        827 |      4,785 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\MusicTheory\Chord                                                                                                     |          5 |        403 |        189 |        122 |        714 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\MusicTheory\ChordProgression                                                                                          |          2 |        156 |         64 |         50 |        270 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\MusicTheory\Interval                                                                                                  |          6 |        475 |        340 |        153 |        968 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\MusicTheory\Note                                                                                                      |          5 |        265 |        210 |        103 |        578 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\MusicTheory\Octave                                                                                                    |          2 |        143 |        128 |         66 |        337 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\MusicTheory\Scale                                                                                                     |          5 |        509 |        552 |        202 |      1,263 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Properties                                                                                                            |          1 |          2 |          0 |          2 |          4 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Standards                                                                                                             |         28 |      2,559 |      5,485 |      1,817 |      9,861 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Standards\GeneralMidi                                                                                                 |          4 |        233 |        582 |        192 |      1,007 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Standards\GeneralMidi2                                                                                                |         12 |      1,467 |      2,739 |        945 |      5,151 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Standards\GeneralMidi2\Percussion                                                                                     |          9 |        589 |      1,632 |        535 |      2,756 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Standards\GeneralSound                                                                                                |         12 |        859 |      2,164 |        680 |      3,703 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Standards\GeneralSound\Percussion                                                                                     |         10 |        662 |      1,836 |        602 |      3,100 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools                                                                                                                 |         81 |      4,252 |      3,332 |      1,088 |      8,672 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\Common                                                                                                          |          3 |         45 |         38 |         17 |        100 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\Common\TimeProcessing                                                                                           |          2 |         37 |         29 |         15 |         81 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\CsvConverter                                                                                                    |         31 |      1,719 |        352 |        363 |      2,434 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\CsvConverter\Common                                                                                             |          5 |        255 |         10 |         89 |        354 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\CsvConverter\MidiFile                                                                                           |         19 |      1,191 |         61 |        203 |      1,455 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\CsvConverter\MidiFile\FromCsv                                                                                   |          9 |        633 |          0 |        119 |        752 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\CsvConverter\MidiFile\RecordTypes                                                                               |          2 |         80 |          0 |          5 |         85 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\CsvConverter\MidiFile\ToCsv                                                                                     |          5 |        397 |          0 |         58 |        455 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\CsvConverter\Notes                                                                                              |          5 |        171 |         31 |         41 |        243 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\LengthedObjectsSplitter                                                                                         |          5 |        556 |        891 |        136 |      1,583 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\LengthedObjectsSplitter\Base                                                                                    |          1 |        182 |        151 |         48 |        381 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\LengthedObjectsSplitter\Utilities                                                                               |          2 |        340 |        706 |         78 |      1,124 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\MidiFileSplitter                                                                                                |          7 |        649 |      1,002 |        203 |      1,854 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\MidiFileSplitter\Settings                                                                                       |          4 |         51 |        456 |         23 |        530 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\NotesMerger                                                                                                     |         10 |        305 |        102 |        105 |        512 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\NotesMerger\VelocityMergers                                                                                     |          6 |         97 |          0 |         36 |        133 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\Quantizer                                                                                                       |         13 |        583 |        535 |        147 |      1,265 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\Quantizer\Base                                                                                                  |          3 |        162 |         78 |         48 |        288 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\Quantizer\LengthedObjectsQuantizer                                                                              |          4 |        234 |        126 |         48 |        408 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\Quantizer\Utilities                                                                                             |          3 |        120 |        252 |         30 |        402 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\Randomizer                                                                                                      |         12 |        395 |        412 |        117 |        924 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\Randomizer\Base                                                                                                 |          2 |         59 |         43 |         22 |        124 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\Randomizer\Bounds                                                                                               |          2 |         62 |         49 |         21 |        132 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\Randomizer\LengthedObjectsRandomizer                                                                            |          2 |         92 |         65 |         23 |        180 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Tools\Randomizer\Utilities                                                                                            |          3 |        120 |        186 |         30 |        336 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\obj                                                                                                                   |          8 |        665 |         11 |          8 |        684 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\obj\Debug                                                                                                             |          4 |         28 |         11 |          8 |         47 |
| Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\obj\Debug\net45                                                                                                       |          4 |         28 |         11 |          8 |         47 |
| Assets\MIDI\drywetmidi-5.2.1\Resources                                                                                                                        |         24 |      1,243 |          2 |        219 |      1,464 |
| Assets\MIDI\drywetmidi-5.2.1\Resources\CI                                                                                                                     |         17 |      1,025 |          0 |        159 |      1,184 |
| Assets\MIDI\drywetmidi-5.2.1\Resources\Scripts                                                                                                                |          5 |        164 |          0 |         42 |        206 |
| Assets\MIDI\drywetmidi-5.2.1\Resources\Utilities                                                                                                              |          2 |         54 |          2 |         18 |         74 |
| Assets\MIDI\drywetmidi-5.2.1\Resources\Utilities\CreateLoopbackPort                                                                                           |          2 |         54 |          2 |         18 |         74 |
| Assets\MIDI\drywetmidi-5.2.1\Resources\Utilities\CreateLoopbackPort\CreateLoopbackPort                                                                        |          2 |         54 |          2 |         18 |         74 |
| Assets\Plugins                                                                                                                                                |         17 |      4,177 |        166 |        841 |      5,184 |
| Assets\Plugins\SimpleFileBrowser                                                                                                                              |         17 |      4,177 |        166 |        841 |      5,184 |
| Assets\Plugins\SimpleFileBrowser\Android                                                                                                                      |          3 |         84 |          0 |         12 |         96 |
| Assets\Plugins\SimpleFileBrowser\Scripts                                                                                                                      |         14 |      4,093 |        166 |        829 |      5,088 |
| Assets\Plugins\SimpleFileBrowser\Scripts\SimpleRecycledListView                                                                                               |          3 |        214 |         28 |         50 |        292 |
| Assets\Scripts                                                                                                                                                |         21 |      2,194 |        100 |        471 |      2,765 |
| Assets\Scripts\Mini                                                                                                                                           |          7 |        190 |         25 |         50 |        265 |
| Assets\Scripts\Otter                                                                                                                                          |         13 |      1,987 |         75 |        416 |      2,478 |
| Assets\Scripts\Otter\Menu                                                                                                                                     |          1 |        300 |          6 |         47 |        353 |
| Assets\Scripts\drywetmidi                                                                                                                                     |          1 |         17 |          0 |          5 |         22 |
| Logs                                                                                                                                                          |          3 |        294 |          0 |         35 |        329 |
| Packages                                                                                                                                                      |          2 |        507 |          0 |          2 |        509 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                      | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\PROGS\Piano-Journey\Piano Journey\Assembly-CSharp-Editor-firstpass.csproj                                                                                  | XML        |        743 |          7 |          1 |        751 |
| e:\PROGS\Piano-Journey\Piano Journey\Assembly-CSharp-firstpass.csproj                                                                                         | XML        |      1,264 |          7 |          1 |      1,272 |
| e:\PROGS\Piano-Journey\Piano Journey\Assembly-CSharp.csproj                                                                                                   | XML        |      1,287 |          7 |          1 |      1,295 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\Inputs\InputMaster.cs                                                                                             | C#         |      1,101 |          5 |         14 |      1,120 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\Inputs\PianoJourney.cs                                                                                            | C#         |      1,090 |          3 |         13 |      1,106 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\.github\FUNDING.yml                                                                         | YAML       |         10 |          1 |          2 |         13 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\composing\Pattern.md                                                          | Markdown   |         93 |          0 |         28 |        121 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\custom-data-structures\Custom-chunks.md                                       | Markdown   |        163 |          0 |         54 |        217 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\custom-data-structures\Custom-meta-events.md                                  | Markdown   |        116 |          0 |         38 |        154 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\devices\Common-problems.md                                                    | Markdown   |          8 |          0 |          5 |         13 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\devices\Devices-connector.md                                                  | Markdown   |         23 |          0 |         12 |         35 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\devices\Input-device.md                                                       | Markdown   |        133 |          0 |         39 |        172 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\devices\Output-device.md                                                      | Markdown   |         58 |          0 |         25 |         83 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\devices\Overview.md                                                           | Markdown   |         17 |          0 |         11 |         28 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\file-reading-writing\MIDI-file-reading.md                                     | Markdown   |         35 |          0 |         11 |         46 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\file-reading-writing\MIDI-file-writing.md                                     | Markdown   |         22 |          0 |          9 |         31 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\BarBeatFractionTimeSpan.md                                | Markdown   |         14 |          0 |          8 |         22 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\BarBeatTicksTimeSpan.md                                   | Markdown   |         14 |          0 |          8 |         22 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\Chords.md                                                 | Markdown   |         34 |          0 |         12 |         46 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\Events-absolute-time.md                                   | Markdown   |         28 |          0 |         13 |         41 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\Events-managers-overview.md                               | Markdown   |         39 |          0 |         19 |         58 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\MetricTimeSpan.md                                         | Markdown   |         43 |          0 |          8 |         51 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\high-level-managing\MidiTimeSpan.md                                           | Markdown   |         11 |          0 |          8 |         19 |
