Date : 2022-02-08 18:19:37
Directory : e:\PROGS\Piano-Journey\Piano Journey
Total : 644 files,  48890 codes, 26473 comments, 13149 blanks, all 88512 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\InvalidChunkSizePolicy.cs                                   | C#         |          8 |         10 |          2 |         20 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\InvalidMetaEventParameterValuePolicy.cs                     | C#         |          8 |         11 |          2 |         21 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\InvalidSystemCommonEventParameterValuePolicy.cs             | C#         |          8 |         11 |          2 |         21 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\MissedEndOfTrackPolicy.cs                                   | C#         |          8 |         15 |          2 |         25 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\NoHeaderChunkPolicy.cs                                      | C#         |          8 |         11 |          2 |         21 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\NotEnoughBytesPolicy.cs                                     | C#         |          8 |         11 |          2 |         21 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\ReaderSettings.cs                                           | C#         |         70 |         54 |         19 |        143 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\ReadingSettings.cs                                          | C#         |        169 |        183 |         42 |        394 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\SilentNoteOnPolicy.cs                                       | C#         |          8 |         10 |          2 |         20 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\UnexpectedTrackChunksCountPolicy.cs                         | C#         |          8 |         10 |          2 |         20 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\UnknownChannelEventAction.cs                                | C#         |         29 |         21 |         15 |         65 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\UnknownChannelEventCallback.cs                              | C#         |          5 |          7 |          2 |         14 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\UnknownChannelEventInstruction.cs                           | C#         |          8 |          9 |          2 |         19 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\UnknownChannelEventPolicy.cs                                | C#         |         11 |         20 |          5 |         36 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\UnknownChunkIdPolicy.cs                                     | C#         |          9 |         13 |          3 |         25 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\UnknownFileFormatPolicy.cs                                  | C#         |          8 |         10 |          2 |         20 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\ZeroLengthDataPolicy.cs                                     | C#         |          8 |         10 |          2 |         20 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\TimeDivision\SmpteTimeDivision.cs                                           | C#         |         63 |         46 |         22 |        131 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\TimeDivision\TicksPerQuarterNoteTimeDivision.cs                             | C#         |         62 |         47 |         25 |        134 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\TimeDivision\TimeDivision.cs                                                | C#         |         10 |         21 |          4 |         35 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\TimeDivision\TimeDivisionFactory.cs                                         | C#         |         18 |          0 |          5 |         23 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Utilities\ArrayUtilities.cs                                                 | C#         |         25 |          0 |          8 |         33 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Utilities\ControlUtilities.cs                                               | C#         |         33 |         28 |         10 |         71 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Utilities\FileUtilities.cs                                                  | C#         |         72 |          0 |         18 |         90 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Utilities\MidiFileUtilities.cs                                              | C#         |         21 |          9 |          6 |         36 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Utilities\NoteEventUtilities.cs                                             | C#         |         34 |         56 |         11 |        101 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Utilities\SmfConstants.cs                                                   | C#         |         10 |          7 |          4 |         21 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Utilities\SmpteData.cs                                                      | C#         |        161 |          1 |         38 |        200 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Utilities\TrackChunkUtilities.cs                                            | C#         |         43 |         41 |         14 |         98 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\WritingSettings\CompressionPolicy.cs                                        | C#         |         23 |         53 |         10 |         86 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\WritingSettings\WriterSettings.cs                                           | C#         |         23 |         12 |          9 |         44 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\WritingSettings\WritingSettings.cs                                          | C#         |         55 |         68 |         23 |        146 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Clock\IClockDrivenObject.cs                                              | C#         |          9 |          6 |          3 |         18 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Clock\MidiClock.cs                                                       | C#         |        141 |         60 |         58 |        259 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Clock\MidiClockSettings.cs                                               | C#         |         22 |          7 |          8 |         37 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Clock\TickGenerator\HighPrecisionTickGenerator.cs                        | C#         |         89 |         28 |         33 |        150 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Clock\TickGenerator\MidiTimerWinApi.cs                                   | C#         |         33 |          0 |         15 |         48 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Clock\TickGenerator\RegularPrecisionTickGenerator.cs                     | C#         |         56 |         21 |         22 |         99 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Clock\TickGenerator\TickGenerator.cs                                     | C#         |         44 |         25 |         20 |         89 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\DevicesConnector\DevicesConnector.cs                                     | C#         |         54 |         73 |         20 |        147 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\DevicesConnector\DevicesConnectorEventCallback.cs                        | C#         |          5 |          6 |          2 |         13 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\DevicesConnector\DevicesConnectorUtilities.cs                            | C#         |         19 |         20 |          5 |         44 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\ErrorOccurredEventArgs.cs                                                | C#         |         16 |          6 |          7 |         29 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\InputDevice\IInputDevice.cs                                              | C#         |         11 |         16 |          5 |         32 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\InputDevice\InputDevice.cs                                               | C#         |        280 |         93 |         91 |        464 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\InputDevice\InvalidShortEventReceivedEventArgs.cs                        | C#         |         20 |         12 |          9 |         41 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\InputDevice\InvalidSysExEventReceivedEventArgs.cs                        | C#         |         16 |          6 |          7 |         29 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\InputDevice\MidiEventReceivedEventArgs.cs                                | C#         |         19 |         12 |          8 |         39 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\InputDevice\MidiInWinApi.cs                                              | C#         |         45 |          0 |         17 |         62 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\InputDevice\MidiTimeCodeReceivedEventArgs.cs                             | C#         |         25 |         18 |         11 |         54 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Manufacturer.cs                                                          | C#         |         78 |        219 |         72 |        369 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\MidiDevice.cs                                                            | C#         |         84 |         74 |         40 |        198 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\MidiDeviceException.cs                                                   | C#         |         20 |         19 |          6 |         45 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\OutputDevice\IOutputDevice.cs                                            | C#         |         11 |         20 |          4 |         35 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\OutputDevice\MidiEventSentEventArgs.cs                                   | C#         |         19 |         12 |          8 |         39 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\OutputDevice\MidiOutWinApi.cs                                            | C#         |         57 |          0 |         18 |         75 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\OutputDevice\OutputDevice.cs                                             | C#         |        280 |        104 |         91 |        475 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\OutputDevice\OutputDeviceType.cs                                         | C#         |         13 |         24 |          7 |         44 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\OutputDevice\Volume.cs                                                   | C#         |         60 |         56 |         23 |        139 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\Callbacks\EventCallback.cs                                      | C#         |          6 |         10 |          2 |         18 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\Callbacks\NoteCallback.cs                                       | C#         |          5 |         11 |          2 |         18 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\Callbacks\NotePlaybackData.cs                                   | C#         |         42 |         27 |         19 |         88 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\CurrentTimeWatcher\PlaybackCurrentTime.cs                       | C#         |         18 |         10 |          8 |         36 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\CurrentTimeWatcher\PlaybackCurrentTimeChangedEventArgs.cs       | C#         |         17 |          6 |          7 |         30 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\CurrentTimeWatcher\PlaybackCurrentTimeWatcher.cs                | C#         |        168 |         57 |         59 |        284 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\MidiEventPlayedEventArgs.cs                                     | C#         |         19 |          9 |          8 |         36 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\NotesEventArgs.cs                                               | C#         |         18 |          7 |          7 |         32 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\Playback.cs                                                     | C#         |        630 |        402 |        192 |      1,224 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackDataTracker.cs                                          | C#         |        259 |          0 |         75 |        334 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackEvent.cs                                                | C#         |         22 |          0 |         10 |         32 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackEventCallback.cs                                        | C#         |          6 |          7 |          2 |         15 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackEventMetadata\NotePlaybackEventMetadata.cs              | C#         |         45 |          0 |         20 |         65 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackEventMetadata\PlaybackEventMetadata.cs                  | C#         |          8 |          0 |          2 |         10 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackEventMetadata\TimedEventPlaybackEventMetadata.cs        | C#         |         15 |          0 |          6 |         21 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackEventsComparer.cs                                       | C#         |         26 |          0 |          9 |         35 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackSettings.cs                                             | C#         |         11 |         10 |          5 |         26 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackUtilities.cs                                            | C#         |        221 |        438 |         51 |        710 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\Snapping\PlaybackSnapping.cs                                    | C#         |        149 |         56 |         49 |        254 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\Snapping\SnapPoint.cs                                           | C#         |         31 |         21 |         15 |         67 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\Snapping\SnapPointsGroup.cs                                     | C#         |         14 |          7 |          6 |         27 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Recording\Recording.cs                                                   | C#         |        102 |         64 |         39 |        205 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Recording\RecordingEvent.cs                                              | C#         |         19 |          0 |          8 |         27 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Recording\RecordingUtilities.cs                                          | C#         |         29 |         17 |         10 |         56 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\WinApi\MidiMessage.cs                                                    | C#         |         17 |          0 |          1 |         18 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\WinApi\MidiWinApi.cs                                                     | C#         |         51 |          0 |         17 |         68 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Chords\Chord.cs                                                      | C#         |        208 |        110 |         71 |        389 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Chords\ChordDetectionSettings.cs                                     | C#         |         48 |        112 |         17 |        177 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Chords\ChordSearchContext.cs                                         | C#         |          9 |         65 |          3 |         77 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Chords\ChordsBuilder.cs                                              | C#         |        168 |          0 |         42 |        210 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Chords\ChordsCollection.cs                                           | C#         |         34 |         19 |         16 |         69 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Chords\ChordsCollectionChangedEventArgs.cs                           | C#         |         20 |         21 |          9 |         50 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Chords\ChordsManager.cs                                              | C#         |        103 |         36 |         36 |        175 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Chords\ChordsManagingUtilities.cs                                    | C#         |        612 |        411 |        175 |      1,198 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\GetObjects\GetObjectsUtilities.cs                                    | C#         |        246 |         58 |         54 |        358 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\GetObjects\ObjectDetectionSettings.cs                                | C#         |         11 |         12 |          5 |         28 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\GetObjects\ObjectType.cs                                             | C#         |         12 |         15 |          5 |         32 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\GetObjects\Settings\RestDetectionSettings.cs                         | C#         |         22 |          8 |          8 |         38 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Grid\ArbitraryGrid.cs                                                | C#         |         32 |         27 |         13 |         72 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Grid\IGrid.cs                                                        | C#         |          8 |          8 |          2 |         18 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Grid\SteppedGrid.cs                                                  | C#         |         57 |        140 |         19 |        216 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\IMusicalObject.cs                                                    | C#         |         10 |          6 |          4 |         20 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\LengthedObject\ILengthedObject.cs                                    | C#         |          9 |          6 |          3 |         18 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\LengthedObject\INotifyLengthChanged.cs                               | C#         |         10 |          6 |          4 |         20 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\LengthedObject\LengthChangedEventArgs.cs                             | C#         |         18 |          9 |          8 |         35 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\LengthedObject\LengthedObjectPart.cs                                 | C#         |          9 |         12 |          3 |         24 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\LengthedObject\LengthedObjectUtilities.cs                            | C#         |         90 |        260 |         22 |        372 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\LengthedObject\SplitLengthedObject.cs                                | C#         |         18 |         10 |          7 |         35 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Notes\Note.cs                                                        | C#         |        164 |        155 |         58 |        377 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Notes\NoteDetectionSettings.cs                                       | C#         |         32 |         20 |         10 |         62 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Notes\NoteSearchContext.cs                                           | C#         |          9 |         69 |          3 |         81 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Notes\NoteStartDetectionPolicy.cs                                    | C#         |          8 |         63 |          2 |         73 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Notes\NotesBuilder.cs                                                | C#         |        291 |          0 |         74 |        365 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Notes\NotesCollection.cs                                             | C#         |         34 |         19 |         16 |         69 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Notes\NotesCollectionChangedEventArgs.cs                             | C#         |         20 |         21 |          9 |         50 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Notes\NotesManager.cs                                                | C#         |         73 |         41 |         28 |        142 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Notes\NotesManagingUtilities.cs                                      | C#         |        575 |        404 |        160 |      1,139 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Notes\Utilities\GetNotesAndRests\GetNotesAndRestsUtilities.cs        | C#         |         51 |         50 |         11 |        112 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Notes\Utilities\GetNotesAndRests\Rest.cs                             | C#         |         74 |         40 |         25 |        139 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Notes\Utilities\GetNotesAndRests\RestSeparationPolicy.cs             | C#         |         10 |         15 |          4 |         29 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Notes\Utilities\GetTimedEventsAndNotesUtilities.cs                   | C#         |         80 |         57 |         28 |        165 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Notes\Utilities\ResizeNotesUtilities.cs                              | C#         |         77 |         57 |         24 |        158 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Parameters\Parameter.cs                                              | C#         |         46 |         24 |         19 |         89 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Parameters\ParameterValueType.cs                                     | C#         |          9 |         14 |          3 |         26 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Parameters\Registered\ChannelCoarseTuningParameter.cs                | C#         |         70 |         37 |         25 |        132 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Parameters\Registered\ChannelFineTuningParameter.cs                  | C#         |         72 |         37 |         26 |        135 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Parameters\Registered\ModulationDepthRangeParameter.cs               | C#         |         68 |         49 |         26 |        143 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Parameters\Registered\PitchBendSensitivityParameter.cs               | C#         |         48 |         36 |         19 |        103 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Parameters\Registered\RegisteredParameter.cs                         | C#         |         67 |         32 |         22 |        121 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Parameters\Registered\RegisteredParameterNumbers.cs                  | C#         |         40 |          0 |          9 |         49 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Parameters\Registered\RegisteredParameterType.cs                     | C#         |         12 |         23 |          7 |         42 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Parameters\Registered\TuningBankSelectParameter.cs                   | C#         |         41 |         24 |         14 |         79 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\Parameters\Registered\TuningProgramChangeParameter.cs                | C#         |         41 |         24 |         14 |         79 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\TempoMap\ITempoMapValuesCache.cs                                     | C#         |         13 |          0 |          7 |         20 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\TempoMap\Tempo.cs                                                    | C#         |         97 |        136 |         40 |        273 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Interaction\TempoMap\TempoMap.cs                                                 | C#         |        205 |        143 |         65 |        413 |
